epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,5132.07,0.60605,0.5155,0.99806,0.53396,0.37761,0.40862,0.15529,2.41273,2.71936,2.56783,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,5250.96,0.61625,0.53458,1.00743,0.51236,0.31818,0.33976,0.12612,2.3755,2.82082,2.54402,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,5379.11,0.63095,0.49914,1.01645,0.51698,0.35227,0.34641,0.12525,2.33346,2.87361,2.52629,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,5494.04,0.61241,0.50237,1.00497,0.49189,0.375,0.34694,0.11857,2.26282,2.77329,2.45375,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,5618.01,0.5932,0.49441,0.9881,0.77648,0.39773,0.42775,0.16549,2.25848,2.61993,2.44025,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,5703,0.60268,0.50511,0.99375,0.70985,0.375,0.42788,0.1663,2.28448,2.68268,2.54628,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,5791.16,0.60237,0.47372,1.00655,0.64233,0.36364,0.41301,0.14947,2.29975,2.74738,2.55174,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,5915.74,0.61477,0.4677,0.99278,0.57474,0.375,0.40236,0.15193,2.25738,2.79835,2.46027,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,6051.37,0.58327,0.45422,0.97897,0.56707,0.38636,0.36891,0.1507,2.24246,2.73625,2.38099,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,6154.74,0.57779,0.46146,0.97756,0.55504,0.375,0.36179,0.15084,2.19867,2.72771,2.34403,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,6287.09,0.57501,0.44587,0.99278,0.51022,0.34091,0.36296,0.16351,2.17725,2.7952,2.36806,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,6389.88,0.60734,0.45951,0.9787,0.57852,0.31818,0.34947,0.14821,2.20487,2.80964,2.43753,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
