epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,850.502,0.95549,0.73988,1.14669,0.89177,0.72,0.84393,0.61049,1.00272,2.7874,1.2459,0.00388,0.00388,0.00388
70,862.082,1.02323,0.78601,1.16447,0.90509,0.76308,0.88869,0.65374,0.9392,1.79446,1.21607,0.00379,0.00379,0.00379
71,873.609,1.09369,0.75916,1.19806,0.94243,0.88,0.93091,0.68915,0.92666,0.95281,1.18782,0.0037,0.0037,0.0037
72,884.722,0.88886,0.90584,1.1788,0.91062,0.88,0.94093,0.68971,1.03355,0.83152,1.2304,0.00361,0.00361,0.00361
73,896.269,1.09693,0.81785,1.12126,0.89139,0.8,0.94242,0.67616,1.09969,0.81652,1.29743,0.00352,0.00352,0.00352
74,907.892,0.9944,0.79102,1.11159,0.93415,0.92,0.97429,0.69567,1.10082,0.76614,1.28903,0.00343,0.00343,0.00343
75,919.307,1.08812,0.77244,1.17612,0.93016,0.92,0.95447,0.65089,1.11748,0.79368,1.28986,0.00334,0.00334,0.00334
76,930.54,0.98695,0.7509,1.10826,1,0.90497,0.95136,0.63188,1.11814,0.79833,1.32638,0.00325,0.00325,0.00325
77,943.122,1.07025,0.81645,1.19701,0.99409,0.88,0.96684,0.63588,1.13295,0.7683,1.32932,0.00316,0.00316,0.00316
78,954.739,1.08173,0.7931,1.17345,0.96852,0.88,0.97746,0.67921,1.05006,0.74748,1.27276,0.00307,0.00307,0.00307
79,967.407,1.07256,0.78116,1.31568,1,0.90402,0.97833,0.68892,1.00547,0.77033,1.20867,0.00298,0.00298,0.00298
80,979.092,1.20512,0.89629,1.27563,0.94578,0.96,0.99071,0.69782,0.9806,0.80527,1.16256,0.00289,0.00289,0.00289
81,990.499,1.14274,0.88691,1.19099,0.92538,0.99229,0.99044,0.71271,0.96361,0.8101,1.13413,0.0028,0.0028,0.0028
82,1002.48,1.1074,0.75284,1.17898,0.95156,0.96,0.98911,0.71465,0.95245,0.7939,1.12216,0.00271,0.00271,0.00271
83,1014.15,1.15304,1.20936,1.45041,0.95001,0.96,0.98911,0.72745,0.88739,0.77722,1.11006,0.00262,0.00262,0.00262
84,1026.13,1.12119,0.89758,1.29571,0.98934,0.92,0.98911,0.73474,0.85039,0.75703,1.10636,0.00253,0.00253,0.00253
85,1039.03,0.90302,0.70749,1.0982,1,0.91449,0.98641,0.74425,0.85172,0.75541,1.1097,0.00244,0.00244,0.00244
86,1050.82,0.98218,0.76204,1.17268,0.94697,0.92,0.98337,0.76833,0.84457,0.72814,1.10503,0.00235,0.00235,0.00235
87,1063.21,0.92509,0.64378,1.10687,0.95705,0.89166,0.9823,0.78081,0.82402,0.71279,1.09289,0.00226,0.00226,0.00226
88,1077.16,0.89684,0.62826,1.03715,0.9527,0.92,0.98063,0.77764,0.86882,0.73848,1.11158,0.00217,0.00217,0.00217
89,1089.76,0.84667,0.62586,0.97394,0.95776,0.92,0.9823,0.76637,0.91757,0.75493,1.14756,0.00208,0.00208,0.00208
90,1101.65,0.83711,0.64216,1.03921,0.8869,1,0.98323,0.77749,0.88252,0.75572,1.14727,0.00199,0.00199,0.00199
91,1112.93,1.09519,1.15774,1.49461,0.95987,0.95682,0.99044,0.78691,0.82274,0.66243,1.11719,0.0019,0.0019,0.0019
92,1123.86,1.26017,0.75887,1.47452,0.99189,1,0.995,0.7729,0.81383,0.62066,1.0937,0.00181,0.00181,0.00181
93,1137.63,0.84791,0.67707,0.99878,0.99164,1,0.995,0.75678,0.82482,0.60373,1.08261,0.00172,0.00172,0.00172
94,1150.74,1.10494,0.68759,1.14112,0.99393,1,0.995,0.77827,0.81679,0.59992,1.07724,0.00163,0.00163,0.00163
95,1163.5,0.97487,0.69099,1.08266,0.99357,1,0.995,0.78701,0.7904,0.60226,1.0745,0.00154,0.00154,0.00154
96,1175.44,0.90787,0.61188,1.07775,0.99807,1,0.995,0.78781,0.79541,0.60759,1.08353,0.00145,0.00145,0.00145
97,1187.23,0.76694,0.57902,0.98299,1,0.95647,0.99346,0.77731,0.81178,0.60196,1.09308,0.00136,0.00136,0.00136
98,1198.77,1.10103,0.91211,1.24461,1,0.9531,0.99346,0.79157,0.8221,0.59417,1.09803,0.00127,0.00127,0.00127
99,1210.63,0.79377,0.63397,1.02148,1,0.95352,0.99346,0.77947,0.82903,0.59278,1.09621,0.00118,0.00118,0.00118
100,1221.87,0.90864,0.63548,1.14001,1,0.95459,0.99346,0.78094,0.82053,0.58017,1.09336,0.00109,0.00109,0.00109
