epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,910.446,0.89745,0.80793,0.94883,0.90962,0.80952,0.89663,0.52724,1.4533,1.02016,1.35364,0.003763,0.003763,0.003763
65,925.588,0.88799,0.78364,0.93092,0.77757,0.85714,0.85236,0.50579,1.49602,0.96253,1.42181,0.003664,0.003664,0.003664
66,940.571,0.83214,0.75257,0.90312,0.90475,0.90467,0.89379,0.52328,1.45624,0.95623,1.36912,0.003565,0.003565,0.003565
67,955.676,0.81516,0.77727,0.90007,0.83649,0.85714,0.86419,0.49755,1.4614,0.97828,1.32648,0.003466,0.003466,0.003466
68,972.255,0.8327,0.85434,0.9468,0.8315,0.85714,0.82477,0.51959,1.46968,0.97347,1.35924,0.003367,0.003367,0.003367
69,987.452,0.83201,0.77342,0.91442,0.83295,0.94984,0.9118,0.5083,1.46253,1.01123,1.28618,0.003268,0.003268,0.003268
70,1002.52,0.91704,0.80162,0.95004,0.83295,0.94984,0.9118,0.5083,1.46253,1.01123,1.28618,0.003169,0.003169,0.003169
71,1017.23,0.84529,0.76613,0.94122,0.89819,0.84074,0.91858,0.52082,1.43526,0.99438,1.28699,0.00307,0.00307,0.00307
72,1032.27,0.7336,0.71119,0.90448,0.86214,0.89378,0.85354,0.47227,1.5067,1.08457,1.35902,0.002971,0.002971,0.002971
73,1047.14,0.84236,0.80849,0.95169,0.86101,0.90476,0.87038,0.48632,1.49325,1.05004,1.35475,0.002872,0.002872,0.002872
74,1062.26,0.73066,0.74271,0.91945,0.89945,0.8522,0.87274,0.50652,1.49275,1.02668,1.36564,0.002773,0.002773,0.002773
75,1077.37,0.78809,0.80525,0.90269,0.8491,0.80409,0.86632,0.52786,1.42503,0.99893,1.33021,0.002674,0.002674,0.002674
76,1092.38,0.84085,0.77327,0.89364,0.93846,0.80952,0.86665,0.45968,1.56087,1.06984,1.44906,0.002575,0.002575,0.002575
77,1107.62,0.82357,0.74917,0.92596,0.92121,0.80952,0.85912,0.49474,1.43416,0.9916,1.35359,0.002476,0.002476,0.002476
78,1121.48,0.76904,0.70877,0.88822,0.92121,0.80952,0.85912,0.49474,1.43416,0.9916,1.35359,0.002377,0.002377,0.002377
79,1138.08,0.75978,0.72124,0.89798,0.82526,0.90476,0.85471,0.47778,1.50372,1.03879,1.38789,0.002278,0.002278,0.002278
80,1155.34,0.76778,0.71342,0.91596,0.81572,0.90476,0.86139,0.46069,1.50254,1.05593,1.42258,0.002179,0.002179,0.002179
