epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,654.697,0.7772,0.69135,1.00898,0.6145,0.54545,0.53457,0.35798,1.27999,1.93481,1.40222,0.004456,0.004456,0.004456
58,668.823,0.86791,0.72825,1.03623,0.72591,0.59091,0.69496,0.42194,1.17446,1.53155,1.2986,0.004357,0.004357,0.004357
59,684.545,0.80015,0.71341,1.00138,0.83725,0.59091,0.71173,0.42186,1.29938,1.60396,1.35481,0.004258,0.004258,0.004258
60,700.667,0.84548,0.76148,1.05621,0.6704,0.72727,0.71575,0.41513,1.39715,1.51384,1.39681,0.004159,0.004159,0.004159
61,716.44,0.93855,0.76244,1.13314,0.6704,0.72727,0.71575,0.41513,1.39715,1.51384,1.39681,0.00406,0.00406,0.00406
62,731.206,0.86865,0.72949,1.04697,0.91076,0.68182,0.79595,0.53301,1.24615,1.3921,1.26687,0.003961,0.003961,0.003961
63,745.573,0.79387,0.69456,1.01872,0.85801,0.72727,0.80474,0.60049,1.08683,1.17679,1.17057,0.003862,0.003862,0.003862
64,757.964,0.82963,0.71807,1.02492,0.87314,0.72727,0.84511,0.64227,0.9881,1.05193,1.1179,0.003763,0.003763,0.003763
65,773.194,0.91682,0.79995,1.07655,0.87314,0.72727,0.84511,0.64227,0.9881,1.05193,1.1179,0.003664,0.003664,0.003664
66,787.153,0.84079,0.71553,1.06179,0.72847,0.86364,0.85082,0.64896,0.92549,0.9737,1.10178,0.003565,0.003565,0.003565
67,799.772,0.8277,0.79542,1.04824,0.86732,0.89187,0.93365,0.70733,0.90113,0.81958,1.0862,0.003466,0.003466,0.003466
68,812.705,0.79483,0.70553,1.05672,0.89023,0.90909,0.95034,0.74712,0.84392,0.74086,1.03895,0.003367,0.003367,0.003367
69,825.647,0.81773,0.73344,1.03352,0.89023,0.90909,0.95034,0.74712,0.84392,0.74086,1.03895,0.003268,0.003268,0.003268
70,836.545,0.85093,0.76546,1.07433,0.91504,0.97965,0.97967,0.75837,0.80635,0.6538,1.01525,0.003169,0.003169,0.003169
71,848.371,0.6904,0.61156,0.95372,0.95639,0.99692,0.98717,0.78999,0.7646,0.63514,0.99553,0.00307,0.00307,0.00307
72,863.31,0.74139,0.61716,1.01204,0.9505,1,0.98935,0.81,0.73703,0.61164,0.98433,0.002971,0.002971,0.002971
73,876.16,0.69987,0.64657,0.98713,0.9505,1,0.98935,0.81,0.73703,0.61164,0.98433,0.002872,0.002872,0.002872
74,889.289,0.65145,0.59369,0.98421,0.95627,0.99417,0.98717,0.79808,0.6709,0.59908,0.95461,0.002773,0.002773,0.002773
75,904.319,0.66875,0.64975,0.97168,0.91638,0.99641,0.97717,0.84735,0.62677,0.57922,0.92702,0.002674,0.002674,0.002674
76,919.821,0.68099,0.62985,0.94735,0.91339,1,0.96842,0.8171,0.61641,0.57228,0.91617,0.002575,0.002575,0.002575
77,935.401,0.70204,0.62621,0.95157,0.91339,1,0.96842,0.8171,0.61641,0.57228,0.91617,0.002476,0.002476,0.002476
78,952.266,0.72178,0.62209,0.97239,0.91071,1,0.9594,0.81084,0.63783,0.59341,0.92775,0.002377,0.002377,0.002377
79,967.533,0.72591,0.63495,0.9824,0.90711,1,0.96258,0.79657,0.67993,0.62282,0.94967,0.002278,0.002278,0.002278
80,981.968,0.74761,0.59694,0.97347,0.94827,1,0.96543,0.80034,0.68442,0.63479,0.95335,0.002179,0.002179,0.002179
81,996.176,0.64866,0.57759,0.95931,0.94827,1,0.96543,0.80034,0.68442,0.63479,0.95335,0.00208,0.00208,0.00208
82,1009.81,0.67019,0.59245,0.97557,0.95039,1,0.9637,0.81434,0.65908,0.60754,0.93802,0.001981,0.001981,0.001981
83,1023.19,0.60258,0.54638,0.9166,0.95194,1,0.9637,0.82015,0.63377,0.5694,0.92105,0.001882,0.001882,0.001882
84,1035.55,0.65289,0.58994,0.97296,0.95199,1,0.97326,0.83029,0.60923,0.54792,0.90924,0.001783,0.001783,0.001783
85,1049.54,0.7085,0.62509,1.0222,0.95199,1,0.97326,0.83029,0.60923,0.54792,0.90924,0.001684,0.001684,0.001684
86,1061.54,0.65898,0.5529,0.95438,0.95227,1,0.98152,0.85761,0.59109,0.52129,0.90151,0.001585,0.001585,0.001585
